Willesden_Green-Southwark-London_Bridge_LU-Baker_Street-Baker_Street-Willesden_Green-end,1
West_Hampstead_LU-London_Bridge_LU-London_Bridge_NR-Victoria_NR-end,1
Kilburn_Park-Paddington_LU-end,3
Willesden_Green-Waterloo_LU-London_Bridge_LU-Brondesbury-end,1
Willesden_Green-Southwark-Blackfriars_NR-Cricklewood-end,2
Kilburn_Park-Waterloo_LU-Embankment-Kilburn_Park-end,1
Kilburn_Park-Paddington_LU-Paddington_NR-Paddington_NR-Paddington_LU-Kilburn_Park-Kilburn-Willesden_Green-end,1
Willesden_Green-Swiss_Cottage-Camden_Town-Tottenham_Court_Road-Green_Park-Shepherds_Bush_LU-end,1
Swiss_Cottage-Willesden_Green-end,4
Kilburn-Willesden_Green-Willesden_Green-Charing_Cross_LU-end,1
Willesden_Green-Waterloo_LU-end,1
Willesden_Green-Swiss_Cottage-Holloway_Road-Walthamstow_Central-Walthamstow_Central-Brondesbury-end,1
Euston_Square-Willesden_Green-Willesden_Green-Marylebone_LU-Marylebone_LU-Willesden_Green-end,1
Kilburn_Park-Charing_Cross_LU-Charing_Cross_LU-Willesden_Green-end,1
Willesden_Green-Finchley_Road-Finchley_Road-Walthamstow_Central-Walthamstow_Central-Oxford_Circus-end,1
Willesden_Green-Charing_Cross_LU-Embankment-Kilburn_Park-end,1
Willesden_Green-Lambeth_North-Finchley_Road-Willesden_Green-Willesden_Green-Southwark-Southwark-Willesden_Green-end,1
Richmond-Brondesbury-end,1
Holloway_Road-Walthamstow_Central-Walthamstow_Central-Brondesbury-end,1
St_Pancras_International-West_Hampstead_Thameslink-end,1
Heathrow_Terminals_123_LU-Victoria_LU-end,1
West_Hampstead_LU-Charing_Cross_LU-end,1
Willesden_Green-Southwark-Waterloo_LU-Willesden_Green-end,8
Willesden_Green-Swiss_Cottage-Willesden_Green-Kings_Cross_LU-Kings_Cross_LU-Willesden_Green-end,1
Willesden_Green-Kings_Cross_LU-St_Pancras_International-Cricklewood-end,1
Willesden_Green-South_Kensington-Waterloo_LU-Swiss_Cottage-Swiss_Cottage-Willesden_Green-Willesden_Green-Pimlico-Vauxhall_LU-Willesden_Green-end,1
Holloway_Road-Waterloo_LU-Waterloo_LU-Willesden_Green-end,1
Willesden_Green-Southwark-London_Bridge_LU-South_Kenton-end,1
Willesden_Green-Walthamstow_Central-Walthamstow_Central-Brondesbury-end,1
Brondesbury-Hackney_Central-Hackney_Central-Brondesbury-end,1
Gloucester_Road-Willesden_Green-end,1
Kilburn_Park-Warwick_Avenue-end,1
Willesden_Green-Piccadilly_Circus-Piccadilly_Circus-Willesden_Green-end,3
Willesden_Green-Embankment-Southwark-Willesden_Green-end,1
Willesden_Green-Holloway_Road-Holloway_Road-Kings_Cross_LU-St_Pancras_International-Cricklewood-end,1
Willesden_Green-Southwark-Southwark-Willesden_Green-end,49
Willesden_Green-Southwark-Vauxhall_LU-Willesden_Green-end,1
Willesden_Green-Baker_Street-end,1
Willesden_Green-South_Kensington-Green_Park-Willesden_Green-end,1
Willesden_Green-Swiss_Cottage-Finchley_Road-Willesden_Green-end,8
Willesden_Green-Southwark-Blackfriars_NR-St_Pancras_International-Euston_LU-Golders_Green-end,1
Willesden_Green-Finchley_Road-Finchley_Road-Walthamstow_Central-Walthamstow_Central-Brondesbury-end,1
Willesden_Green-Walthamstow_Central-Walthamstow_Central-West_Hampstead_LO-end,1
Brondesbury-Richmond-Richmond-Waterloo_NR-Waterloo_LU-Baker_Street-Baker_Street-Euston_Square-Euston_Square-Willesden_Green-end,1
Westminster-Willesden_Green-end,1
London_Bridge_LU-Willesden_Green-end,1
Willesden_Green-Pimlico-Waterloo_LU-Willesden_Green-end,1
Willesden_Green-Wembley_Park-Wembley_Park-Willesden_Green-end,6
Willesden_Green-Southwark-Waterloo_LU-Highbury_&_Islington-Highbury_&_Islington-Willesden_Green-end,1
Willesden_Green-Swiss_Cottage-Swiss_Cottage-Willesden_Green-Willesden_Green-Warren_Street-Tottenham_Court_Road-Willesden_Green-end,1
Holloway_Road-Walthamstow_Central-Walthamstow_Central-Kensal_Rise-end,1
Willesden_Green-Charing_Cross_LU-Charing_Cross_NR-Brondesbury-end,1
Willesden_Green-Swiss_Cottage-Swiss_Cottage-West_Brompton-West_Brompton-Willesden_Green-end,1
Willesden_Green-Swiss_Cottage-Finchley_Road-Wembley_Park-Wembley_Park-Willesden_Green-Willesden_Green-Wembley_Park-Wembley_Park-Willesden_Green-end,1
Willesden_Green-Charing_Cross_LU-Southwark-Willesden_Green-end,1
Willesden_Green-Kings_Cross_LU-Kings_Cross_LU-Highbury_&_Islington-Highbury_&_Islington-Brondesbury-end,1
Walthamstow_Central-Kings_Cross_LU-Kings_Cross_LU-Kilburn-end,1
Willesden_Green-Southwark-Waterloo_LU-Finsbury_Park_LU-end,1
West_Hampstead_LU-Charing_Cross_LU-Piccadilly_Circus-Kilburn_Park-end,1
Kilburn-Green_Park-Green_Park-Waterloo_LU-Waterloo_LU-Willesden_Green-end,1
Willesden_Green-Southwark-London_Bridge_LU-Wembley_Park-Wembley_Park-Willesden_Green-end,1
Willesden_Green-Regents_Park-Regents_Park-Piccadilly_Circus-Piccadilly_Circus-Willesden_Green-end,1
Willesden_Green-Kings_Cross_LU-Kings_Cross_LU-Walthamstow_Central-Walthamstow_Central-Waterloo_LU-Waterloo_LU-Willesden_Green-end,1
Willesden_Green-Swiss_Cottage-Finchley_Road-Willesden_Green-Willesden_Green-Wembley_Park-Wembley_Park-Willesden_Green-end,1
Bond_Street-Willesden_Green-end,1
Willesden_Green-Swiss_Cottage-Finchley_Road_&_Frognal-Walthamstow_Central-Camden_Road-West_Hampstead_LO-West_Hampstead_LU-Willesden_Green-end,1
Willesden_Green-Swiss_Cottage-Finchley_Road-Willesden_Green-Kensal_Rise-Hoxton-Liverpool_Street_LU-Willesden_Green-end,1
Willesden_Green-Swiss_Cottage-Finchley_Road-Willesden_Green-Willesden_Green-Waterloo_LU-London_Bridge_LU-Willesden_Green-end,1
London_Bridge_LU-Kilburn_Park-end,1
Kings_Cross_LU-Willesden_Green-end,2
Willesden_Green-Swiss_Cottage-Swiss_Cottage-Willesden_Green-end,5
Oxford_Circus-Kilburn_Park-end,1
Willesden_Green-Liverpool_Street_LU-Liverpool_Street_LU-Willesden_Green-Willesden_Green-Charing_Cross_LU-Bond_Street-Willesden_Green-end,1
Willesden_Green-West_Hampstead_LU-Camden_Road-Brondesbury-end,1
Willesden_Green-Charing_Cross_LU-Vauxhall_LU-Kings_Cross_LU-Swiss_Cottage-Willesden_Green-end,1
